20/07/2023 16:41:28 mateus Cadastrou -> VC83499 
20/07/2023 16:45:40 mateus Cadastrou -> VC73231 
20/07/2023 16:47:00 mateus Cadastrou -> VC83081 
20/07/2023 18:10:15 mateus Cadastrou -> VC73123 
20/07/2023 18:10:50 mateus Cadastrou -> VC83230 
20/07/2023 18:12:40 mateus Cadastrou -> VC73995 
20/07/2023 18:13:24 mateus Cadastrou -> VC83191 
20/07/2023 18:56:46 mateus Cadastrou -> VC73803 
20/07/2023 18:57:29 mateus Cadastrou -> VC83189 
20/07/2023 19:12:52 mateus Cadastrou -> VC73343 
20/07/2023 19:13:36 mateus Cadastrou -> VC83492 
20/07/2023 19:17:21 mateus Cadastrou -> VC73094 
20/07/2023 19:18:02 mateus Cadastrou -> VC83237 
21/07/2023 18:52:14 mateus Cadastrou -> VC83616 
21/07/2023 18:59:17 mateus Cadastrou -> VC83479 
21/07/2023 19:01:42 mateus Cadastrou -> VC83502 
24/07/2023 13:56:42 mateus Cadastrou -> VC74478 
24/07/2023 14:00:15 mateus Cadastrou -> VC85495 
24/07/2023 14:03:17 mateus Cadastrou -> VC74473 
24/07/2023 14:04:04 mateus Cadastrou -> VC85444 
24/07/2023 14:06:48 mateus Cadastrou -> VC75493 
24/07/2023 14:07:41 mateus Cadastrou -> VC88637 
24/07/2023 14:12:24 mateus Cadastrou -> VC74529 
24/07/2023 14:13:35 mateus Cadastrou -> VC84627 
24/07/2023 14:17:14 mateus Cadastrou -> VC74526 
24/07/2023 14:17:47 mateus Cadastrou -> VC84644 
24/07/2023 14:23:08 mateus Cadastrou -> VC75338 
24/07/2023 14:24:51 mateus Cadastrou -> VC85491 
24/07/2023 14:25:02 Vitor Cadastrou -> VC74527 
24/07/2023 14:25:38 Vitor Cadastrou -> VC84147 
24/07/2023 14:27:48 mateus Cadastrou -> VC74528 
24/07/2023 14:28:42 mateus Cadastrou -> VC85464 
24/07/2023 14:34:12 mateus Cadastrou -> VC75687 
24/07/2023 14:34:48 mateus Cadastrou -> VC84610 
24/07/2023 14:35:25 Vitor Cadastrou -> VC75516 
24/07/2023 14:36:02 Vitor Cadastrou -> VC84008 
24/07/2023 14:38:10 mateus Cadastrou -> VC76251 
24/07/2023 14:38:49 mateus Cadastrou -> VC85490 
24/07/2023 14:40:36 mateus Cadastrou -> VC74363 
24/07/2023 14:41:13 mateus Cadastrou -> VC84616 
24/07/2023 14:44:49 mateus Cadastrou -> VC74469 
24/07/2023 14:45:18 mateus Cadastrou -> VC85454 
24/07/2023 14:46:12 Vitor Cadastrou -> VC74252 
24/07/2023 14:46:52 Vitor Cadastrou -> VC84130 
24/07/2023 14:54:06 Vitor Cadastrou -> VC74881 
24/07/2023 14:54:54 Vitor Cadastrou -> VC84506 
24/07/2023 15:04:48 Vitor Cadastrou -> VC75365 
24/07/2023 15:05:33 Vitor Cadastrou -> VC84194 
24/07/2023 15:17:26 Vitor Cadastrou -> VC74244 
24/07/2023 15:18:01 Vitor Cadastrou -> VC83994 
24/07/2023 15:25:05 Vitor Cadastrou -> VC74741 
24/07/2023 15:25:51 Vitor Cadastrou -> VC84534 
24/07/2023 15:29:25 Vitor Cadastrou -> VC74694 
24/07/2023 15:30:05 Vitor Cadastrou -> VC84418 
24/07/2023 15:33:48 Vitor Cadastrou -> VC75647 
24/07/2023 15:34:30 Vitor Cadastrou -> VC84094 
24/07/2023 15:35:44 mateus Cadastrou -> VC75050 
24/07/2023 15:36:20 mateus Cadastrou -> VC85453 
24/07/2023 15:38:33 mateus Cadastrou -> VC75195 
24/07/2023 15:39:07 mateus Cadastrou -> VC85467 
24/07/2023 15:41:34 Vitor Cadastrou -> VC75045 
24/07/2023 15:42:18 Vitor Cadastrou -> VC84518 
24/07/2023 15:47:02 Vitor Cadastrou -> VC74521 
24/07/2023 15:47:49 Vitor Cadastrou -> VC84515 
24/07/2023 15:49:15 mateus Cadastrou -> VC75194 
24/07/2023 15:50:06 mateus Cadastrou -> VC85460 
24/07/2023 15:57:41 Vitor Cadastrou -> VC75893 
24/07/2023 15:58:24 Vitor Cadastrou -> VC84362 
24/07/2023 16:34:22 Vitor Cadastrou -> VC74580 
24/07/2023 16:34:32 mateus Cadastrou -> VC74319 
24/07/2023 16:34:58 Vitor Cadastrou -> VC84501 
24/07/2023 16:35:01 mateus Cadastrou -> VC85458 
24/07/2023 16:36:23 mateus Cadastrou -> VC33475 
24/07/2023 16:36:49 mateus Cadastrou -> VC85455 
24/07/2023 16:38:11 mateus Cadastrou -> VC75303 
24/07/2023 16:38:50 mateus Cadastrou -> VVC85445 
24/07/2023 16:39:04 Vitor Cadastrou -> VC74243 
24/07/2023 16:39:38 Vitor Cadastrou -> VC84000 
24/07/2023 16:41:26 mateus Cadastrou -> VC75939 
24/07/2023 16:41:53 mateus Cadastrou -> VC85457 
24/07/2023 18:10:28 mateus Cadastrou -> VC76170 
24/07/2023 18:11:04 mateus Cadastrou -> VC84102 
24/07/2023 18:13:30 Vitor Cadastrou -> VC75897 
24/07/2023 18:14:02 mateus Cadastrou -> VC76255 
24/07/2023 18:14:03 Vitor Cadastrou -> VC84167 
24/07/2023 18:14:48 mateus Cadastrou -> VC84356 
24/07/2023 18:16:08 mateus Cadastrou -> VC76169 
24/07/2023 18:16:37 mateus Cadastrou -> VC84199 
24/07/2023 18:19:02 mateus Cadastrou -> VC75455 
24/07/2023 18:19:30 mateus Cadastrou -> VC84129 
24/07/2023 18:21:53 mateus Cadastrou -> VC75529 
24/07/2023 18:22:16 mateus Cadastrou -> VC84001 
24/07/2023 18:23:29 Vitor Cadastrou -> VC74228 
24/07/2023 18:24:07 Vitor Cadastrou -> VC84386 
24/07/2023 18:26:56 mateus Cadastrou -> VC74763 
24/07/2023 18:32:06 Vitor Cadastrou -> VC76261 
24/07/2023 18:32:39 Vitor Cadastrou -> VC84499 
24/07/2023 18:33:06 mateus Cadastrou -> VC83953 
24/07/2023 18:37:26 Vitor Cadastrou -> VC76195 
24/07/2023 18:37:46 mateus Cadastrou -> VC76166 
24/07/2023 18:38:01 Vitor Cadastrou -> VC84494 
24/07/2023 18:38:25 mateus Cadastrou -> VC83957 
24/07/2023 18:42:14 Vitor Cadastrou -> VC75829 
24/07/2023 18:43:01 Vitor Cadastrou -> VC84459 
24/07/2023 18:51:06 Vitor Cadastrou -> VC75427 
